,sudoku name,heuristic,DP_calls,backtracks,split_calls,split_time,assign_calls,assign_time,unit_clause_calls,unit_clause_time,solved_sudoku,solve_time
0,../data/dimac_sudoku/subig20.sdk_1315.txt,random,10,2,2,0.0,833,1.829268455505371,7,1.9684443473815918,1,1.9997375011444092
1,../data/dimac_sudoku/subig20.sdk_5011.txt,random,2,0,0,0.0,729,1.7402021884918213,1,1.9532115459442139,1,1.98441743850708
0,../data/dimac_sudoku/subig20.sdk_1315.txt,random,10,2,2,0.0,833,1.829268455505371,7,1.9684443473815918,1,1.9997375011444092
1,../data/dimac_sudoku/subig20.sdk_5011.txt,random,2,0,0,0.0,729,1.7402021884918213,1,1.9532115459442139,1,1.98441743850708
2,../data/dimac_sudoku/subig20.sdk_1315.txt,next,10,2,2,0.0,833,1.7722296714782715,7,2.001929759979248,1,2.033177137374878
3,../data/dimac_sudoku/subig20.sdk_5011.txt,next,2,0,0,0.0,729,1.7342519760131836,1,1.9527857303619385,1,1.9684057235717773
0,../data/dimac_sudoku/subig20.sdk_1315.txt,random,10,2,2,0.0,833,1.829268455505371,7,1.9684443473815918,1,1.9997375011444092
1,../data/dimac_sudoku/subig20.sdk_5011.txt,random,2,0,0,0.0,729,1.7402021884918213,1,1.9532115459442139,1,1.98441743850708
2,../data/dimac_sudoku/subig20.sdk_1315.txt,next,10,2,2,0.0,833,1.7722296714782715,7,2.001929759979248,1,2.033177137374878
3,../data/dimac_sudoku/subig20.sdk_5011.txt,next,2,0,0,0.0,729,1.7342519760131836,1,1.9527857303619385,1,1.9684057235717773
4,../data/dimac_sudoku/subig20.sdk_1315.txt,DLIS,10,2,2,0.0,833,1.8692355155944824,7,1.9997079372406006,1,2.0309526920318604
5,../data/dimac_sudoku/subig20.sdk_5011.txt,DLIS,2,0,0,0.0,729,1.8262410163879395,1,1.954481840133667,1,1.9857256412506104
0,../data/dimac_sudoku/subig20.sdk_1315.txt,random,10,2,2,0.0,833,1.829268455505371,7,1.9684443473815918,1,1.9997375011444092
1,../data/dimac_sudoku/subig20.sdk_5011.txt,random,2,0,0,0.0,729,1.7402021884918213,1,1.9532115459442139,1,1.98441743850708
2,../data/dimac_sudoku/subig20.sdk_1315.txt,next,10,2,2,0.0,833,1.7722296714782715,7,2.001929759979248,1,2.033177137374878
3,../data/dimac_sudoku/subig20.sdk_5011.txt,next,2,0,0,0.0,729,1.7342519760131836,1,1.9527857303619385,1,1.9684057235717773
4,../data/dimac_sudoku/subig20.sdk_1315.txt,DLIS,10,2,2,0.0,833,1.8692355155944824,7,1.9997079372406006,1,2.0309526920318604
5,../data/dimac_sudoku/subig20.sdk_5011.txt,DLIS,2,0,0,0.0,729,1.8262410163879395,1,1.954481840133667,1,1.9857256412506104
6,../data/dimac_sudoku/subig20.sdk_1315.txt,DLIS_max,10,2,2,0.0,833,1.868467092514038,7,2.0146660804748535,1,2.0458970069885254
7,../data/dimac_sudoku/subig20.sdk_5011.txt,DLIS_max,2,0,0,0.0,729,1.8075711727142334,1,2.0469319820404053,1,2.0781660079956055
0,../data/dimac_sudoku/subig20.sdk_1315.txt,random,10,2,2,0.0,833,1.829268455505371,7,1.9684443473815918,1,1.9997375011444092
1,../data/dimac_sudoku/subig20.sdk_5011.txt,random,2,0,0,0.0,729,1.7402021884918213,1,1.9532115459442139,1,1.98441743850708
2,../data/dimac_sudoku/subig20.sdk_1315.txt,next,10,2,2,0.0,833,1.7722296714782715,7,2.001929759979248,1,2.033177137374878
3,../data/dimac_sudoku/subig20.sdk_5011.txt,next,2,0,0,0.0,729,1.7342519760131836,1,1.9527857303619385,1,1.9684057235717773
4,../data/dimac_sudoku/subig20.sdk_1315.txt,DLIS,10,2,2,0.0,833,1.8692355155944824,7,1.9997079372406006,1,2.0309526920318604
5,../data/dimac_sudoku/subig20.sdk_5011.txt,DLIS,2,0,0,0.0,729,1.8262410163879395,1,1.954481840133667,1,1.9857256412506104
6,../data/dimac_sudoku/subig20.sdk_1315.txt,DLIS_max,10,2,2,0.0,833,1.868467092514038,7,2.0146660804748535,1,2.0458970069885254
7,../data/dimac_sudoku/subig20.sdk_5011.txt,DLIS_max,2,0,0,0.0,729,1.8075711727142334,1,2.0469319820404053,1,2.0781660079956055
8,../data/dimac_sudoku/subig20.sdk_1315.txt,BOHM,10,2,2,0.0,833,1.7197847366333008,7,1.9995107650756836,1,2.025486946105957
9,../data/dimac_sudoku/subig20.sdk_5011.txt,BOHM,2,0,0,0.0,729,1.8347840309143066,1,1.995556354522705,1,2.0128631591796875
0,../data/dimac_sudoku/subig20.sdk_1315.txt,random,10,2,2,0.0,833,1.829268455505371,7,1.9684443473815918,1,1.9997375011444092
1,../data/dimac_sudoku/subig20.sdk_5011.txt,random,2,0,0,0.0,729,1.7402021884918213,1,1.9532115459442139,1,1.98441743850708
2,../data/dimac_sudoku/subig20.sdk_1315.txt,next,10,2,2,0.0,833,1.7722296714782715,7,2.001929759979248,1,2.033177137374878
3,../data/dimac_sudoku/subig20.sdk_5011.txt,next,2,0,0,0.0,729,1.7342519760131836,1,1.9527857303619385,1,1.9684057235717773
4,../data/dimac_sudoku/subig20.sdk_1315.txt,DLIS,10,2,2,0.0,833,1.8692355155944824,7,1.9997079372406006,1,2.0309526920318604
5,../data/dimac_sudoku/subig20.sdk_5011.txt,DLIS,2,0,0,0.0,729,1.8262410163879395,1,1.954481840133667,1,1.9857256412506104
6,../data/dimac_sudoku/subig20.sdk_1315.txt,DLIS_max,10,2,2,0.0,833,1.868467092514038,7,2.0146660804748535,1,2.0458970069885254
7,../data/dimac_sudoku/subig20.sdk_5011.txt,DLIS_max,2,0,0,0.0,729,1.8075711727142334,1,2.0469319820404053,1,2.0781660079956055
8,../data/dimac_sudoku/subig20.sdk_1315.txt,BOHM,10,2,2,0.0,833,1.7197847366333008,7,1.9995107650756836,1,2.025486946105957
9,../data/dimac_sudoku/subig20.sdk_5011.txt,BOHM,2,0,0,0.0,729,1.8347840309143066,1,1.995556354522705,1,2.0128631591796875
10,../data/dimac_sudoku/subig20.sdk_1315.txt,paretoDominant,10,2,2,0.0,833,2.2873594760894775,7,2.5681450366973877,1,2.5847907066345215
11,../data/dimac_sudoku/subig20.sdk_5011.txt,paretoDominant,2,0,0,0.0,729,2.357278347015381,1,2.570120096206665,1,2.591062068939209
0,../data/dimac_sudoku/subig20.sdk_1315.txt,random,10,2,2,0.0,833,1.829268455505371,7,1.9684443473815918,1,1.9997375011444092
1,../data/dimac_sudoku/subig20.sdk_5011.txt,random,2,0,0,0.0,729,1.7402021884918213,1,1.9532115459442139,1,1.98441743850708
2,../data/dimac_sudoku/subig20.sdk_1315.txt,next,10,2,2,0.0,833,1.7722296714782715,7,2.001929759979248,1,2.033177137374878
3,../data/dimac_sudoku/subig20.sdk_5011.txt,next,2,0,0,0.0,729,1.7342519760131836,1,1.9527857303619385,1,1.9684057235717773
4,../data/dimac_sudoku/subig20.sdk_1315.txt,DLIS,10,2,2,0.0,833,1.8692355155944824,7,1.9997079372406006,1,2.0309526920318604
5,../data/dimac_sudoku/subig20.sdk_5011.txt,DLIS,2,0,0,0.0,729,1.8262410163879395,1,1.954481840133667,1,1.9857256412506104
6,../data/dimac_sudoku/subig20.sdk_1315.txt,DLIS_max,10,2,2,0.0,833,1.868467092514038,7,2.0146660804748535,1,2.0458970069885254
7,../data/dimac_sudoku/subig20.sdk_5011.txt,DLIS_max,2,0,0,0.0,729,1.8075711727142334,1,2.0469319820404053,1,2.0781660079956055
8,../data/dimac_sudoku/subig20.sdk_1315.txt,BOHM,10,2,2,0.0,833,1.7197847366333008,7,1.9995107650756836,1,2.025486946105957
9,../data/dimac_sudoku/subig20.sdk_5011.txt,BOHM,2,0,0,0.0,729,1.8347840309143066,1,1.995556354522705,1,2.0128631591796875
10,../data/dimac_sudoku/subig20.sdk_1315.txt,paretoDominant,10,2,2,0.0,833,2.2873594760894775,7,2.5681450366973877,1,2.5847907066345215
11,../data/dimac_sudoku/subig20.sdk_5011.txt,paretoDominant,2,0,0,0.0,729,2.357278347015381,1,2.570120096206665,1,2.591062068939209
12,../data/dimac_sudoku/subig20.sdk_1315.txt,RF,10,2,2,0.0,833,2.467792272567749,7,2.7103466987609863,1,2.737318754196167
13,../data/dimac_sudoku/subig20.sdk_5011.txt,RF,2,0,0,0.0,729,2.0704214572906494,1,2.273998737335205,1,2.294938087463379
