,sudoku name,heuristic,DP_calls,backtracks,split_calls,split_time,assign_calls,assign_time,unit_clause_calls,unit_clause_time,solved_sudoku,solve_time
0,../data/hard_sudoku/damnhard_0.txt,Next,84,20,22,6.9141387939453125e-06,2909,3.3152055740356445,63,3.629974126815796,1,3.7101247310638428
1,../data/hard_sudoku/damnhard_1.txt,Next,10,0,4,5.9604644775390625e-06,729,2.239656686782837,9,2.46059250831604,1,2.4940080642700195
2,../data/hard_sudoku/damnhard_10.txt,Next,319,84,87,6.198883056640625e-06,9636,6.069995403289795,234,6.629708766937256,1,6.8270769119262695
3,../data/hard_sudoku/damnhard_11.txt,Next,104,26,28,6.9141387939453125e-06,4898,3.937407970428467,77,4.317700147628784,1,4.401817798614502
4,../data/hard_sudoku/damnhard_12.txt,Next,2015,528,534,8.821487426757812e-06,64203,16.683852672576904,1486,18.113593101501465,1,18.80244779586792
5,../data/hard_sudoku/damnhard_13.txt,Next,11,1,4,7.867813110351562e-06,776,2.4298219680786133,9,2.6796650886535645,1,2.715824842453003
6,../data/hard_sudoku/damnhard_14.txt,Next,11,2,3,1.1205673217773438e-05,974,2.5016286373138428,8,2.7633063793182373,1,2.8011059761047363
7,../data/hard_sudoku/damnhard_15.txt,Next,4,0,1,8.106231689453125e-06,729,2.3552653789520264,3,2.601210832595825,1,2.632014036178589
8,../data/hard_sudoku/damnhard_16.txt,Next,4,0,1,1.0967254638671875e-05,729,2.3753833770751953,3,2.619317054748535,1,2.6496851444244385
9,../data/hard_sudoku/damnhard_17.txt,Next,33,8,8,8.106231689453125e-06,2009,2.7732324600219727,24,3.054213523864746,1,3.0984480381011963
10,../data/hard_sudoku/damnhard_18.txt,Next,19,4,5,5.0067901611328125e-06,1053,2.4619710445404053,14,2.7129716873168945,1,2.75087308883667
11,../data/hard_sudoku/damnhard_19.txt,Next,958,247,252,9.059906005859375e-06,36769,14.428932666778564,710,15.738620042800903,1,16.218416213989258
12,../data/hard_sudoku/damnhard_2.txt,Next,44,10,14,8.106231689453125e-06,1871,2.917222261428833,33,3.1982877254486084,1,3.2569918632507324
13,../data/hard_sudoku/damnhard_20.txt,Next,49,10,14,5.245208740234375e-06,2137,2.896838665008545,38,3.1789872646331787,1,3.231764078140259
14,../data/hard_sudoku/damnhard_21.txt,Next,10,1,3,6.198883056640625e-06,752,2.3523004055023193,8,2.6016366481781006,1,2.6355230808258057
15,../data/hard_sudoku/damnhard_22.txt,Next,12,2,3,3.0994415283203125e-06,972,2.4657323360443115,9,2.723853588104248,1,2.7564361095428467
16,../data/hard_sudoku/damnhard_23.txt,Next,20,4,5,1.1920928955078125e-05,1039,2.577509880065918,15,2.8368401527404785,1,2.87648606300354
17,../data/hard_sudoku/damnhard_24.txt,Next,19,4,5,8.821487426757812e-06,953,2.5967698097229004,14,2.8563730716705322,1,2.9008848667144775
18,../data/hard_sudoku/damnhard_26.txt,Next,231,58,60,4.291534423828125e-06,7751,5.157977104187012,172,5.631187200546265,1,5.778520822525024
19,../data/hard_sudoku/damnhard_28.txt,Next,21,5,5,9.298324584960938e-06,1129,2.6656227111816406,15,2.925605535507202,1,2.9683330059051514
20,../data/hard_sudoku/damnhard_29.txt,Next,192,49,54,6.9141387939453125e-06,7288,5.177269697189331,142,5.662110805511475,1,5.805577993392944
21,../data/hard_sudoku/damnhard_3.txt,Next,21,3,7,7.867813110351562e-06,952,2.656454563140869,17,2.9145255088806152,1,2.9577369689941406
22,../data/hard_sudoku/damnhard_30.txt,Next,20,4,5,5.245208740234375e-06,937,2.3372979164123535,15,2.5676488876342773,1,2.6006031036376953
23,../data/hard_sudoku/damnhard_31.txt,Next,4,0,1,8.106231689453125e-06,729,2.3512485027313232,3,2.599303722381592,1,2.629178762435913
24,../data/hard_sudoku/damnhard_32.txt,Next,19,4,5,7.867813110351562e-06,1024,2.5484349727630615,14,2.7978591918945312,1,2.8366971015930176
25,../data/hard_sudoku/damnhard_33.txt,Next,45,9,13,6.198883056640625e-06,1566,2.700350284576416,35,2.9702088832855225,1,3.0258350372314453
26,../data/hard_sudoku/damnhard_34.txt,Next,15,3,4,7.867813110351562e-06,1085,2.6472270488739014,11,2.9033734798431396,1,2.944953203201294
27,../data/hard_sudoku/damnhard_4.txt,Next,109,26,31,7.867813110351562e-06,4326,3.7522919178009033,82,4.1125547885894775,1,4.198612928390503
28,../data/hard_sudoku/damnhard_5.txt,Next,158,42,44,8.344650268554688e-06,6447,5.190543174743652,115,5.648209095001221,1,5.79326605796814
29,../data/hard_sudoku/damnhard_6.txt,Next,37,8,11,7.867813110351562e-06,1862,2.8619468212127686,28,3.1320436000823975,1,3.190376043319702
30,../data/hard_sudoku/damnhard_7.txt,Next,19,2,7,4.291534423828125e-06,904,2.3244736194610596,16,2.552159070968628,1,2.5875539779663086
31,../data/hard_sudoku/damnhard_8.txt,Next,37,8,11,8.344650268554688e-06,1968,3.0171337127685547,28,3.3177239894866943,1,3.375155210494995
32,../data/hard_sudoku/damnhard_9.txt,Next,37,8,11,8.106231689453125e-06,1809,2.9671452045440674,28,3.2473132610321045,1,3.3052279949188232
33,../data/hard_sudoku/damnhard_0.txt,DLIS,84,20,22,0.0005691051483154297,2909,3.499509334564209,63,3.8373916149139404,1,3.9340667724609375
34,../data/hard_sudoku/damnhard_1.txt,DLIS,10,0,4,0.0009467601776123047,729,2.444563150405884,9,2.682811737060547,1,2.720647096633911
35,../data/hard_sudoku/damnhard_10.txt,DLIS,319,84,87,0.00021696090698242188,9636,6.20566725730896,234,6.768857002258301,1,7.028748989105225
36,../data/hard_sudoku/damnhard_11.txt,DLIS,104,26,28,0.0006549358367919922,4898,4.2595038414001465,77,4.669837474822998,1,4.787175178527832
37,../data/hard_sudoku/damnhard_12.txt,DLIS,2015,528,534,0.00029277801513671875,64203,16.7164204120636,1486,18.155924558639526,1,19.06266188621521
38,../data/hard_sudoku/damnhard_13.txt,DLIS,11,1,4,6.580352783203125e-05,776,2.287379741668701,9,2.5088396072387695,1,2.543999195098877
39,../data/hard_sudoku/damnhard_14.txt,DLIS,11,2,3,0.0007009506225585938,974,2.3931124210357666,8,2.636277198791504,1,2.6722571849823
40,../data/hard_sudoku/damnhard_15.txt,DLIS,4,0,1,0.0006170272827148438,729,2.3484318256378174,3,2.5820565223693848,1,2.6099581718444824
41,../data/hard_sudoku/damnhard_16.txt,DLIS,4,0,1,0.0006070137023925781,729,2.316342353820801,3,2.552567720413208,1,2.582590103149414
42,../data/hard_sudoku/damnhard_17.txt,DLIS,33,8,8,0.0006017684936523438,2009,2.838923692703247,24,3.1139278411865234,1,3.1667568683624268
43,../data/hard_sudoku/damnhard_18.txt,DLIS,19,4,5,0.000125885009765625,1053,2.4572744369506836,14,2.6995351314544678,1,2.748051166534424
44,../data/hard_sudoku/damnhard_19.txt,DLIS,958,247,252,0.00016188621520996094,36769,14.101835012435913,710,15.351167678833008,1,15.952184677124023
45,../data/hard_sudoku/damnhard_2.txt,DLIS,44,10,14,0.0006878376007080078,1871,2.865461826324463,33,3.138169288635254,1,3.2021071910858154
46,../data/hard_sudoku/damnhard_20.txt,DLIS,49,10,14,0.0006401538848876953,2137,2.7990529537200928,38,3.071848154067993,1,3.1322059631347656
47,../data/hard_sudoku/damnhard_21.txt,DLIS,10,1,3,0.0007081031799316406,752,2.3020572662353516,8,2.531856060028076,1,2.5662450790405273
48,../data/hard_sudoku/damnhard_22.txt,DLIS,12,2,3,9.584426879882812e-05,972,2.3907477855682373,9,2.626891613006592,1,2.6576650142669678
49,../data/hard_sudoku/damnhard_23.txt,DLIS,20,4,5,0.0006797313690185547,1039,2.4552526473999023,15,2.6901662349700928,1,2.728853940963745
50,../data/hard_sudoku/damnhard_24.txt,DLIS,19,4,5,0.0006427764892578125,953,2.432623863220215,14,2.664078950881958,1,2.704802989959717
51,../data/hard_sudoku/damnhard_26.txt,DLIS,231,58,60,0.00019502639770507812,7751,4.867027521133423,172,5.3008832931518555,1,5.46997594833374
52,../data/hard_sudoku/damnhard_28.txt,DLIS,21,5,5,0.00061798095703125,1129,2.4627978801727295,15,2.700901508331299,1,2.742673873901367
53,../data/hard_sudoku/damnhard_29.txt,DLIS,192,49,54,0.00017189979553222656,7288,4.812157154083252,142,5.2451982498168945,1,5.405294895172119
54,../data/hard_sudoku/damnhard_3.txt,DLIS,21,3,7,0.0006289482116699219,952,2.428069591522217,17,2.6650657653808594,1,2.7117059230804443
55,../data/hard_sudoku/damnhard_30.txt,DLIS,20,4,5,9.703636169433594e-05,937,2.3141841888427734,15,2.5438175201416016,1,2.5728769302368164
56,../data/hard_sudoku/damnhard_31.txt,DLIS,4,0,1,0.0008990764617919922,729,2.303849220275879,3,2.5331220626831055,1,2.562462091445923
57,../data/hard_sudoku/damnhard_32.txt,DLIS,19,4,5,0.0005488395690917969,1024,2.460498094558716,14,2.7032253742218018,1,2.742703676223755
58,../data/hard_sudoku/damnhard_33.txt,DLIS,45,9,13,0.0003299713134765625,1566,2.554839849472046,35,2.794511079788208,1,2.845763921737671
59,../data/hard_sudoku/damnhard_34.txt,DLIS,15,3,4,0.0008790493011474609,1085,2.548044443130493,11,2.8001458644866943,1,2.8418710231781006
60,../data/hard_sudoku/damnhard_4.txt,DLIS,109,26,31,0.00038504600524902344,4326,3.753063440322876,82,4.105159759521484,1,4.210129261016846
61,../data/hard_sudoku/damnhard_5.txt,DLIS,158,42,44,0.000782012939453125,6447,5.488882780075073,115,5.9899585247039795,1,6.181400775909424
62,../data/hard_sudoku/damnhard_6.txt,DLIS,37,8,11,0.0009770393371582031,1862,3.3156073093414307,28,3.67273211479187,1,3.7525930404663086
63,../data/hard_sudoku/damnhard_7.txt,DLIS,19,2,7,0.0002510547637939453,904,2.633631467819214,16,2.897848129272461,1,2.9411661624908447
64,../data/hard_sudoku/damnhard_8.txt,DLIS,37,8,11,0.0007767677307128906,1968,3.205430269241333,28,3.5225226879119873,1,3.5944957733154297
65,../data/hard_sudoku/damnhard_9.txt,DLIS,37,8,11,0.000782012939453125,1809,3.1090357303619385,28,3.4062321186065674,1,3.4780070781707764
66,../data/hard_sudoku/damnhard_0.txt,DLIS max,10079,3352,3352,0.0003452301025390625,443922,80.36384916305542,6726,87.17293047904968,0,91.83213591575623
67,../data/hard_sudoku/damnhard_1.txt,DLIS max,2190,705,756,0.00024318695068359375,94442,18.789281368255615,1484,20.460426330566406,1,21.560832023620605
68,../data/hard_sudoku/damnhard_10.txt,DLIS max,10074,3350,3350,0.0002980232238769531,476490,93.00663161277771,6723,101.27103281021118,0,106.40199184417725
69,../data/hard_sudoku/damnhard_11.txt,DLIS max,10050,3330,3330,0.0004260540008544922,475803,97.10760378837585,6719,105.90174865722656,0,111.37761998176575
70,../data/hard_sudoku/damnhard_12.txt,DLIS max,10092,3363,3363,0.00029397010803222656,464275,87.33770442008972,6728,95.10179710388184,0,100.25700092315674
71,../data/hard_sudoku/damnhard_13.txt,DLIS max,10049,3331,3331,0.000392913818359375,457872,84.51548290252686,6717,91.91670799255371,0,96.71801972389221
72,../data/hard_sudoku/damnhard_14.txt,DLIS max,10057,3336,3336,0.00042700767517089844,465160,84.31239008903503,6720,91.69822573661804,0,96.44874811172485
73,../data/hard_sudoku/damnhard_15.txt,DLIS max,438,133,165,0.0001881122589111328,15336,4.0970540046691895,304,4.45003867149353,1,4.646267890930176
74,../data/hard_sudoku/damnhard_16.txt,DLIS max,578,181,203,0.00026702880859375,20778,5.158495903015137,396,5.610321044921875,1,5.856691837310791
75,../data/hard_sudoku/damnhard_17.txt,DLIS max,2998,977,1007,0.0002079010009765625,129029,23.911308765411377,2020,25.960315227508545,1,27.296996116638184
76,../data/hard_sudoku/damnhard_18.txt,DLIS max,10045,3329,3329,0.0006160736083984375,478280,91.1960277557373,6715,99.24999475479126,0,104.3062641620636
77,../data/hard_sudoku/damnhard_19.txt,DLIS max,10071,3344,3344,0.0004010200500488281,491850,94.79516434669495,6726,103.2214789390564,0,108.27267694473267
78,../data/hard_sudoku/damnhard_2.txt,DLIS max,10085,3362,3362,0.0003819465637207031,468124,86.46754002571106,6722,93.96931862831116,0,98.91197991371155
79,../data/hard_sudoku/damnhard_20.txt,DLIS max,6184,2025,2059,0.0002968311309814453,284424,52.44511365890503,4158,57.13680076599121,1,60.0409460067749
80,../data/hard_sudoku/damnhard_21.txt,DLIS max,10071,3349,3349,0.0004012584686279297,423277,73.78080010414124,6721,80.15042400360107,0,84.64623379707336
81,../data/hard_sudoku/damnhard_22.txt,DLIS max,10071,3341,3341,0.0003819465637207031,463873,86.9377052783966,6729,94.4791476726532,0,99.40341186523438
82,../data/hard_sudoku/damnhard_23.txt,DLIS max,10073,3346,3346,0.0002791881561279297,452141,79.09506702423096,6726,85.87150478363037,0,90.35192394256592
83,../data/hard_sudoku/damnhard_24.txt,DLIS max,10061,3335,3335,0.0003070831298828125,435120,72.0246946811676,6725,78.09318447113037,0,82.32327198982239
84,../data/hard_sudoku/damnhard_26.txt,DLIS max,10056,3341,3341,0.0004773139953613281,469152,85.25827097892761,6714,92.61373281478882,0,97.28630995750427
85,../data/hard_sudoku/damnhard_28.txt,DLIS max,8731,2872,2886,0.00017404556274414062,365105,62.98830056190491,5858,68.53277468681335,1,72.32796597480774
86,../data/hard_sudoku/damnhard_29.txt,DLIS max,10083,3360,3360,0.0002639293670654297,472476,90.09034061431885,6722,98.10287117958069,0,103.25867223739624
87,../data/hard_sudoku/damnhard_3.txt,DLIS max,10102,3368,3368,0.00027298927307128906,466871,88.43272757530212,6733,96.20148396492004,0,101.27321219444275
88,../data/hard_sudoku/damnhard_30.txt,DLIS max,114,35,40,0.00010895729064941406,3813,2.808044672012329,78,3.0815868377685547,1,3.1492629051208496
89,../data/hard_sudoku/damnhard_31.txt,DLIS max,10074,3344,3344,0.00021719932556152344,447455,79.78145980834961,6729,86.77745485305786,0,91.44744801521301
90,../data/hard_sudoku/damnhard_32.txt,DLIS max,10027,3308,3308,0.0002951622009277344,439086,77.29165196418762,6718,84.03086400032043,0,88.57006621360779
91,../data/hard_sudoku/damnhard_33.txt,DLIS max,10056,3333,3333,0.00020885467529296875,401094,66.62238240242004,6722,72.35070037841797,0,76.68702960014343
92,../data/hard_sudoku/damnhard_34.txt,DLIS max,10048,3328,3328,0.0003070831298828125,466734,91.11838936805725,6719,99.13871264457703,0,104.16560196876526
93,../data/hard_sudoku/damnhard_4.txt,DLIS max,10050,3340,3340,0.00047779083251953125,481875,95.77037072181702,6709,104.34660172462463,0,109.49289298057556
94,../data/hard_sudoku/damnhard_5.txt,DLIS max,792,237,310,0.00024700164794921875,35523,8.83724331855774,554,9.576154947280884,1,10.11955189704895
95,../data/hard_sudoku/damnhard_6.txt,DLIS max,5242,1709,1773,0.0002429485321044922,248484,50.31904458999634,3532,54.86850905418396,1,57.730045795440674
96,../data/hard_sudoku/damnhard_7.txt,DLIS max,10076,3353,3353,0.0003960132598876953,474299,88.55638432502747,6722,96.5299186706543,0,101.51358604431152
97,../data/hard_sudoku/damnhard_8.txt,DLIS max,10062,3340,3340,0.00024771690368652344,474638,90.89668798446655,6721,98.8716049194336,0,103.88177800178528
98,../data/hard_sudoku/damnhard_9.txt,DLIS max,1603,504,580,0.0002963542938232422,72575,14.781591176986694,1098,16.022874355316162,1,16.885735988616943
99,../data/hard_sudoku/damnhard_0.txt,BOHM,781,251,254,0.00537109375,37560,12.46024465560913,529,13.49950909614563,1,14.875273942947388
100,../data/hard_sudoku/damnhard_1.txt,BOHM,18,4,6,0.003095865249633789,1225,2.5773673057556152,13,2.8330116271972656,1,2.8941969871520996
101,../data/hard_sudoku/damnhard_10.txt,BOHM,24,4,11,0.0008599758148193359,980,2.5263381004333496,19,2.774782180786133,1,2.853309154510498
102,../data/hard_sudoku/damnhard_11.txt,BOHM,5720,1843,1849,0.0025217533111572266,310514,90.739098072052,3876,98.69198441505432,1,108.5437560081482
103,../data/hard_sudoku/damnhard_12.txt,BOHM,1402,450,453,0.005883216857910156,72779,19.987863540649414,951,21.761438608169556,1,23.767325162887573
104,../data/hard_sudoku/damnhard_13.txt,BOHM,35,8,12,0.0005788803100585938,1249,2.5080103874206543,26,2.7538886070251465,1,2.8205208778381348
105,../data/hard_sudoku/damnhard_14.txt,BOHM,12,1,5,0.0028450489044189453,904,2.4414658546447754,10,2.692948818206787,1,2.7477362155914307
106,../data/hard_sudoku/damnhard_15.txt,BOHM,179,57,58,0.0038671493530273438,6390,3.191669464111328,121,3.494330406188965,1,3.6838483810424805
107,../data/hard_sudoku/damnhard_16.txt,BOHM,19,5,6,0.0042612552642822266,1530,2.704699754714966,13,2.9675893783569336,1,3.035006046295166
108,../data/hard_sudoku/damnhard_17.txt,BOHM,409,130,131,0.0038688182830810547,20517,6.964361906051636,278,7.599759578704834,1,8.15424108505249
109,../data/hard_sudoku/damnhard_18.txt,BOHM,1750,551,563,0.0015308856964111328,80101,20.255674839019775,1198,22.060914993286133,1,24.302704095840454
110,../data/hard_sudoku/damnhard_19.txt,BOHM,4723,1520,1523,0.002210855484008789,258806,73.89422273635864,3202,80.32851958274841,1,87.99693894386292
111,../data/hard_sudoku/damnhard_2.txt,BOHM,880,281,285,0.0036520957946777344,43583,12.757951974868774,598,13.890822410583496,1,15.161509990692139
112,../data/hard_sudoku/damnhard_20.txt,BOHM,10004,3232,3232,0.0031599998474121094,523041,138.84779620170593,6771,150.93183517456055,0,166.56702065467834
113,../data/hard_sudoku/damnhard_21.txt,BOHM,2000,637,641,0.00409388542175293,94926,28.831322193145752,1362,31.271551847457886,1,34.670166969299316
114,../data/hard_sudoku/damnhard_22.txt,BOHM,2256,720,724,0.0046100616455078125,110370,31.053488731384277,1535,33.66035485267639,1,37.4517080783844
115,../data/hard_sudoku/damnhard_23.txt,BOHM,9463,3046,3048,0.002935647964477539,486515,142.7882125377655,6416,154.77472138404846,1,171.23692893981934
